Formaldehyde_reductive_amination.proc: total_reaction: 582, top 1: 0 (0%), top 2: 0 (0%), top 3: 0 (0%), and failed: 582 (100%)
Amide_hydrolysis.proc: total_reaction: 843, top 1: 0 (0%), top 2: 0 (0%), top 3: 0 (0%), and failed: 843 (100%)
Benzimidazole_synthesis.proc: total_reaction: 765, top 1: 0 (0%), top 2: 0 (0%), top 3: 0 (0%), and failed: 765 (100%)
Sulfanyl_to_sulfinyl.proc: total_reaction: 822, top 1: 0 (0%), top 2: 0 (0%), top 3: 0 (0%), and failed: 822 (100%)
Epoxide___amine_coupling.proc: total_reaction: 965, top 1: 0 (0%), top 2: 0 (0%), top 3: 0 (0%), and failed: 965 (100%)
Carboxylic_acid___hydrazine_condensation.proc: total_reaction: 566, top 1: 292 (52%), top 2: 82 (14%), top 3: 11 (2%), and failed: 181 (32%)
Isomerization.proc: total_reaction: 642, top 1: 118 (18%), top 2: 38 (6%), top 3: 28 (4%), and failed: 458 (71%)
Aldehyde_reductive_imination.proc: total_reaction: 781, top 1: 0 (0%), top 2: 0 (0%), top 3: 0 (0%), and failed: 781 (100%)
Chiral_separation.proc: total_reaction: 1030, top 1: 111 (11%), top 2: 28 (3%), top 3: 23 (2%), and failed: 868 (84%)
Iodo_Suzuki-type_couplingPd.proc: total_reaction: 638, top 1: 153 (24%), top 2: 33 (5%), top 3: 10 (2%), and failed: 442 (69%)
Deoxygenation.proc: total_reaction: 731, top 1: 53 (7%), top 2: 18 (2%), top 3: 13 (2%), and failed: 647 (89%)
Negishi_coupling.proc: total_reaction: 307, top 1: 0 (0%), top 2: 1 (0%), top 3: 0 (0%), and failed: 306 (100%)
Carbamate___amine_reaction.proc: total_reaction: 843, top 1: 0 (0%), top 2: 1 (0%), top 3: 0 (0%), and failed: 842 (100%)
Carboxylic_acid___amidine_condensation.proc: total_reaction: 698, top 1: 525 (75%), top 2: 29 (4%), top 3: 11 (2%), and failed: 133 (19%)
Nitration.proc: total_reaction: 1002, top 1: 0 (0%), top 2: 0 (0%), top 3: 0 (0%), and failed: 1002 (100%)
Racemization.proc: total_reaction: 805, top 1: 290 (36%), top 2: 56 (7%), top 3: 32 (4%), and failed: 427 (53%)
Bromo_Suzuki-type_couplingPd.proc: total_reaction: 3938, top 1: 944 (24%), top 2: 51 (1%), top 3: 21 (1%), and failed: 2922 (74%)
Ullmann-type_biaryl_coupling.proc: total_reaction: 443, top 1: 29 (7%), top 2: 0 (0%), top 3: 10 (2%), and failed: 404 (91%)
Bromo_N-arylation.proc: total_reaction: 2657, top 1: 24 (1%), top 2: 7 (0%), top 3: 6 (0%), and failed: 2620 (99%)
N-dealkylation.proc: total_reaction: 957, top 1: 2 (0%), top 2: 0 (0%), top 3: 0 (0%), and failed: 955 (100%)
Carboxylic_acid_to_acid_chloride.proc: total_reaction: 1060, top 1: 62 (6%), top 2: 92 (9%), top 3: 36 (3%), and failed: 870 (82%)
Bromo_Suzuki-type_coupling.proc: total_reaction: 3938, top 1: 1 (0%), top 2: 0 (0%), top 3: 0 (0%), and failed: 3937 (100%)
Bromo_thioether_synthesis.proc: total_reaction: 772, top 1: 75 (10%), top 2: 21 (3%), top 3: 13 (2%), and failed: 663 (86%)
N-PMB_deprotection.proc: total_reaction: 577, top 1: 0 (0%), top 2: 0 (0%), top 3: 0 (0%), and failed: 577 (100%)
Iodo_Suzuki-type_coupling.proc: total_reaction: 638, top 1: 0 (0%), top 2: 0 (0%), top 3: 0 (0%), and failed: 638 (100%)
Bromo_to_pinacolatoboranyl.proc: total_reaction: 723, top 1: 0 (0%), top 2: 0 (0%), top 3: 0 (0%), and failed: 723 (100%)
Carbamate___carboxylic_acid_reaction.proc: total_reaction: 478, top 1: 13 (3%), top 2: 0 (0%), top 3: 2 (0%), and failed: 463 (97%)
Alcohol_to_aldehyde_oxidation.proc: total_reaction: 945, top 1: 0 (0%), top 2: 0 (0%), top 3: 0 (0%), and failed: 945 (100%)
Nitrile_reduction.proc: total_reaction: 962, top 1: 0 (0%), top 2: 0 (0%), top 3: 0 (0%), and failed: 962 (100%)
Chloro_Suzuki-type_coupling.proc: total_reaction: 1220, top 1: 0 (0%), top 2: 0 (0%), top 3: 0 (0%), and failed: 1220 (100%)
Alkylimino-de-oxo-bisubstitution.proc: total_reaction: 557, top 1: 0 (0%), top 2: 0 (0%), top 3: 0 (0%), and failed: 557 (100%)
Chloro_N-arylation.proc: file: Chloro_N-arylation.proc, total_reaction: 9144, top 1: 46 (1%), top 2: 20 (0%), top 3: 17 (0%), and failed: 9061 (99%)
N-SEM_deprotection.proc: total_reaction: 721, top 1: 0 (0%), top 2: 0 (0%), top 3: 0 (0%), and failed: 721 (100%)
Oxo_to_hydroxyimino.proc: total_reaction: 759, top 1: 0 (0%), top 2: 0 (0%), top 3: 0 (0%), and failed: 759 (100%)
O-TBS_protection.proc: total_reaction: 932, top 1: 0 (0%), top 2: 0 (0%), top 3: 0 (0%), and failed: 932 (100%)
Aldehyde_to_alcohol_reduction.proc: total_reaction: 746, top 1: 7 (1%), top 2: 61 (8%), top 3: 6 (1%), and failed: 672 (90%)
Chloro_Suzuki-type_couplingPd.proc: total_reaction: 1220, top 1: 266 (22%), top 2: 36 (3%), top 3: 3 (0%), and failed: 915 (75%)
